timestamp,run_id,kind,scenario,phase,duration_nanos,duration_millis,preview_type,tree_preview_type,has_path,solved,ticks,task_state
"2026-05-31T03:06:44.296476Z","c154906f-6b8a-463e-be26-d246b2298812","preview","acyclic-success","solveAndCalculatePreview","5737110800","5737","SUCCESS","SUCCESS","true","","",""
"2026-05-31T03:06:44.314411100Z","c154906f-6b8a-463e-be26-d246b2298812","preview","acyclic-success","solveAndCalculateTreePreview","2850940700","2850","SUCCESS","SUCCESS","true","","",""
"2026-05-31T03:06:44.317148200Z","c154906f-6b8a-463e-be26-d246b2298812","preview","acyclic-success","total","8588051500","8588","SUCCESS","SUCCESS","true","","",""
"2026-05-31T03:06:44.319831600Z","c154906f-6b8a-463e-be26-d246b2298812","preview","acyclic-missing","solveAndCalculatePreview","4604968400","4604","MISSING_RESOURCES","MISSING_RESOURCES","true","","",""
"2026-05-31T03:06:44.321342200Z","c154906f-6b8a-463e-be26-d246b2298812","preview","acyclic-missing","solveAndCalculateTreePreview","2350514600","2350","MISSING_RESOURCES","MISSING_RESOURCES","true","","",""
"2026-05-31T03:06:44.322403700Z","c154906f-6b8a-463e-be26-d246b2298812","preview","acyclic-missing","total","6955483000","6955","MISSING_RESOURCES","MISSING_RESOURCES","true","","",""
"2026-05-31T03:06:45.637167300Z","c154906f-6b8a-463e-be26-d246b2298812","execution","exec-cyclic-ring","solve","723132400","723","","","","","37","COMPLETED"
"2026-05-31T03:06:45.638262500Z","c154906f-6b8a-463e-be26-d246b2298812","execution","exec-cyclic-ring","dispatch","56114500","56","","","","","37","COMPLETED"
"2026-05-31T03:06:45.640248900Z","c154906f-6b8a-463e-be26-d246b2298812","execution","exec-cyclic-ring","execute","491213100","491","","","","","37","COMPLETED"
"2026-05-31T03:06:45.642230300Z","c154906f-6b8a-463e-be26-d246b2298812","execution","exec-cyclic-ring","total","1270460000","1270","","","","","37","COMPLETED"
"2026-05-31T03:06:46.613135500Z","c154906f-6b8a-463e-be26-d246b2298812","execution","exec-many-small-cycles","solve","659873300","659","","","","","9","COMPLETED"
"2026-05-31T03:06:46.614690800Z","c154906f-6b8a-463e-be26-d246b2298812","execution","exec-many-small-cycles","dispatch","4083200","4","","","","","9","COMPLETED"
"2026-05-31T03:06:46.615752900Z","c154906f-6b8a-463e-be26-d246b2298812","execution","exec-many-small-cycles","execute","301809600","301","","","","","9","COMPLETED"
"2026-05-31T03:06:46.617330Z","c154906f-6b8a-463e-be26-d246b2298812","execution","exec-many-small-cycles","total","965766100","965","","","","","9","COMPLETED"
"2026-05-31T03:06:47.762215500Z","c154906f-6b8a-463e-be26-d246b2298812","execution","exec-overlapping-cycles","solve","1099359500","1099","","","","","10","COMPLETED"
"2026-05-31T03:06:47.762821200Z","c154906f-6b8a-463e-be26-d246b2298812","execution","exec-overlapping-cycles","dispatch","2020800","2","","","","","10","COMPLETED"
"2026-05-31T03:06:47.764845100Z","c154906f-6b8a-463e-be26-d246b2298812","execution","exec-overlapping-cycles","execute","38315500","38","","","","","10","COMPLETED"
"2026-05-31T03:06:47.766359400Z","c154906f-6b8a-463e-be26-d246b2298812","execution","exec-overlapping-cycles","total","1139695800","1139","","","","","10","COMPLETED"
"2026-05-31T03:06:48.551174600Z","c154906f-6b8a-463e-be26-d246b2298812","preview","cyclic-ring-large","solveAndCalculatePreview","418182300","418","SUCCESS","SUCCESS","true","","",""
